Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1871,1,1,,1872,12,31,,Winter 1871 - 1872,Four Diagrams showing the Construction of the Form of an English Shield,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159643'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_002-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_002-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,before June1871,Snake's-Head Fritillary,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159356'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_013-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_013-a-L.jpg,title,,#3f83e8
1835,1,1,,1835,12,31,,1835,End of the Lake of Lecco,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object//48684'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_254-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_254-a-L.jpg,title,,#3f83e8
1832,1,1,,1832,12,31,,1832,The Tower of Gloucester Cathedral,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159710'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_087-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_087-a-L.jpg,title,,#3f83e8
1858,1,1,,1858,12,31,,1858,The Courtyard of a Late Gothic Wooden House at Abbeville,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159340'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED/WA_RS_ED_062-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED/WA_RS_ED_062-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,probably 1869,"Detail of the Equestrian Statue on the Summit of the Tomb of Cangrande I della Scala, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159602'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_063_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_063_a-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,probably 1871,Study of an Etruscan Cup,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159696'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_055-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_055-a-L.jpg,title,,#3f83e8
1876,1,1,,1876,12,31,,1876,Sketch of Verona,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298630'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:INV121896_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV121896_dynmc,title,,#00758F
1843,1,1,,1843,12,31,,probably 1843,Quick Study of Leaf Contour: Bramble,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159803'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_280-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_280-a-L.jpg,title,,#3f83e8
1842,1,1,,1842,12,31,,1842,Falls of Schaffhausen,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298667'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:779019,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:779019,title,,#00758F
1870,1,1,,1870,12,31,,8 - 11 September 1870,"The Head of a common Golden Eagle, from Life",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159507'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_165_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_165_a-a-L.jpg,title,,#3f83e8
1863,1,1,,1863,12,31,,1863(?),Towers at Baden,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298671'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48807_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48807_dynmc,title,,#00758F
1857,1,1,,1857,12,31,,probably 1857,Finished Study of Agrimony Leaves,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159454'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_255_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_255_a-a-L.jpg,title,,#3f83e8
1868,1,1,,1868,12,31,,1868,"Church of St. Wulfran, Abbeville",<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299037'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:VRS38386_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS38386_dynmc,title,,#00758F
1869,1,1,,1869,12,31,,21 May - 1 July 1869,"The Sarcophagus and Effigy of the Tomb of Cangrande I della Scala, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159403'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_077-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_077-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,28 May - 29 June 1869,"The Tomb of Cangrande I della Scala, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159402'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_076-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_076-a-L.jpg,title,,#3f83e8
1848,1,1,,1848,12,31,,1848,"Detail of St. Sauveur, Caen","Samuel Sachs, gift; to Fogg Art Museum, 1919<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298627'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:INV003786_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV003786_dynmc,title,,#00758F
1842,1,1,,1842,12,31,,1842,Falls of Schaffhausen,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298666'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:DDC100822_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:DDC100822_dynmc,title,,#00758F
1858,1,1,,1858,12,31,,1858,Bellinzona,"Miss Eleanor B. Eaton and Horace A. Eaton, gift; to Fogg Art Museum, 1934<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298373'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:INV121895_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV121895_dynmc,title,,#00758F
1869,1,1,,1869,12,31,,probably 1869,Quick Sketch of a Strawberry Leaf,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159802'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_279-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_279-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,July 1869,"Part of the Base of a Pilaster in Santa Maria dei Miracoli, Venice",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159414'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_094-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_094-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,probably 1871,Enlarged Drawing of Part of the Ornament on an Etruscan Cup,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159697'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_056-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_056-a-L.jpg,title,,#3f83e8
1870,1,1,,1870,12,31,,probably autumn 1870,"Profile of a Cobra, drawn from Life",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159382'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_174_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_174_a-a-L.jpg,title,,#3f83e8
1874,1,1,,1874,12,31,,c. 1874,Twig of Peach Bloom,"The artist; to William Ward II (1829-1908).  Alfred Mansfield Brooks, Swarthmore, PA and Gloucester, MA (1870-1963); to Mrs. Alfred Mansfield Brooks (nee Ruth Steele), at his death, 1963, bequest; to Fogg Art Museum, 1970.<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/296290'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:779025,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:779025,title,,#00758F
1849,1,1,,1849,12,31,,1849,The Matterhorn,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298758'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:INV003064_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV003064_dynmc,title,,#00758F
1861,1,1,,1863,12,31,,probably 1861 - 1863,Tracing of Turner's 'Heysham and Cumberland Mountains',<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159584'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_290-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_290-a-L.jpg,title,,#3f83e8
1835,1,1,,1835,12,31,,1835,"Bellagio, Lago di Como",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object//48685'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_255-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_255-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,before June1871,"Study, with the Pencil-point, of a Snake's-Head Fritillary",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159357'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_014-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_014-a-L.jpg,title,,#3f83e8
1868,1,1,,1868,12,31,,1868,Coral Oysters,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/297454'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:DDC100833_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:DDC100833_dynmc,title,,#00758F
1870,1,1,,1870,12,31,,probably 1870,Sketch of a Spandril in the western Porch of Bourges Cathedral,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159707'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_081-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_081-a-L.jpg,title,,#3f83e8
1870,1,1,,1870,12,31,,June 1870,Sketch of Lioness and Cubs from Nicola Pisano's Siena Pulpit,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159496'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_153-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_153-a-L.jpg,title,,#3f83e8
1842,1,1,,1842,12,31,,1842,View of Chamonix,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299485'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:VRS38388_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS38388_dynmc,title,,#00758F
1858,1,1,,1860,12,31,,1858 - 1860,Four Studies of Gooseberry-blossom,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159361'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_018_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_018_a-a-L.jpg,title,,#3f83e8
1863,1,1,,1863,12,31,,1863,Bridge at Lauffenbourg,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299186'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:779021,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:779021,title,,#00758F
1845,1,1,,1850,12,31,,c. 1845-1850,Architectural Study,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/296967'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:DDC100834_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:DDC100834_dynmc,title,,#00758F
1870,1,1,,1870,12,31,,probably spring 1870,A growing Shoot of Box,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159571'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_268-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_268-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,14 - 17 June 1869,"The Ponte della Pietra, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159588'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_295_a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_295_a-L.jpg,title,,#3f83e8
1860,1,1,,1860,12,31,,c. 1860,Engraving of John Ruskin's Drawing of the Dryad's Crown: Oak Leaves in Autumn,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159567'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_264-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_264-a-L.jpg,title,,#3f83e8
1871,1,1,,1881,12,31,,c. 1876,Budding Sycamore,"G.R. Roxburgh (?-?); (Artemis Fine Arts, London, sold to the Cleveland Museum of Art, Cleveland, OH) (?-1989); Cleveland Museum of Art, Cleveland, OH (1989-)<br/><br/><a target='_new' href='https://www.nga.gov/collection/art-object-page.154494.html'>Artwork homepage</a>",https://clevelandart.org/art/154494,Cleveland Museum of Art,,https://clevelandart.org/art/154494,title,,#EDD59E
